




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	Client Text Box Input (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	Client Text Box Input (3008)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)	Client Text Box Input (FDR)
positive regulation of lipid transport (GO:0032370)	84	25	12.27	+	2.04	3.45E-03	4.32E-02
positive regulation of protein kinase B signaling (GO:0051897)	181	44	26.44	+	1.66	3.43E-03	4.30E-02
metencephalon development (GO:0022037)	112	31	16.36	+	1.90	3.42E-03	4.30E-02
regulation of inflammatory response (GO:0050727)	518	104	75.66	+	1.37	3.41E-03	4.28E-02
regulation of cold-induced thermogenesis (GO:0120161)	144	37	21.03	+	1.76	3.38E-03	4.25E-02
antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	76	2	11.10	-	.18	3.32E-03	4.17E-02
cardiac muscle cell myoblast differentiation (GO:0060379)	10	7	1.46	+	4.79	3.28E-03	4.17E-02
dorsal/ventral axis specification (GO:0009950)	10	7	1.46	+	4.79	3.28E-03	4.16E-02
post-embryonic development (GO:0009791)	83	25	12.12	+	2.06	3.28E-03	4.16E-02
ureter morphogenesis (GO:0072197)	7	6	1.02	+	5.87	3.28E-03	4.16E-02
amylin receptor signaling pathway (GO:0097647)	7	6	1.02	+	5.87	3.28E-03	4.16E-02
transcription elongation from RNA polymerase II promoter (GO:0006368)	75	2	10.95	-	.18	3.30E-03	4.15E-02
SA node cell to atrial cardiac muscle cell signaling (GO:0086018)	7	6	1.02	+	5.87	3.28E-03	4.15E-02
SA node cell action potential (GO:0086015)	7	6	1.02	+	5.87	3.28E-03	4.15E-02
negative regulation of Wnt signaling pathway involved in heart development (GO:0003308)	7	6	1.02	+	5.87	3.28E-03	4.15E-02
commitment of neuronal cell to specific neuron type in forebrain (GO:0021902)	7	6	1.02	+	5.87	3.28E-03	4.14E-02
cerebral cortex GABAergic interneuron development (GO:0021894)	7	6	1.02	+	5.87	3.28E-03	4.14E-02
cell-cell signaling by wnt (GO:0198738)	350	75	51.12	+	1.47	3.25E-03	4.13E-02
vacuole organization (GO:0007033)	145	8	21.18	-	.38	3.24E-03	4.13E-02
Wnt signaling pathway (GO:0016055)	350	75	51.12	+	1.47	3.25E-03	4.12E-02
membrane depolarization (GO:0051899)	52	18	7.59	+	2.37	3.23E-03	4.11E-02
positive regulation of cellular component biogenesis (GO:0044089)	534	107	77.99	+	1.37	3.21E-03	4.09E-02
regulation of cell-substrate adhesion (GO:0010810)	218	51	31.84	+	1.60	3.19E-03	4.07E-02
telomere organization (GO:0032200)	103	4	15.04	-	.27	3.16E-03	4.04E-02
nucleosome organization (GO:0034728)	156	9	22.78	-	.40	3.14E-03	4.03E-02
lymph vessel development (GO:0001945)	24	11	3.51	+	3.14	3.14E-03	4.03E-02
cellular response to vitamin (GO:0071295)	24	11	3.51	+	3.14	3.14E-03	4.02E-02
synaptic membrane adhesion (GO:0099560)	24	11	3.51	+	3.14	3.14E-03	4.02E-02
atrioventricular valve morphogenesis (GO:0003181)	24	11	3.51	+	3.14	3.14E-03	4.02E-02
biological process involved in interspecies interaction between organisms (GO:0044419)	1593	187	232.67	-	.80	3.08E-03	3.95E-02
mammary gland morphogenesis (GO:0060443)	44	16	6.43	+	2.49	3.07E-03	3.94E-02
embryonic axis specification (GO:0000578)	39	15	5.70	+	2.63	3.05E-03	3.93E-02
regulation of striated muscle tissue development (GO:0016202)	39	15	5.70	+	2.63	3.05E-03	3.93E-02
negative regulation of insulin secretion (GO:0046676)	39	15	5.70	+	2.63	3.05E-03	3.93E-02
chondroitin sulfate metabolic process (GO:0030204)	39	15	5.70	+	2.63	3.05E-03	3.92E-02
glial cell fate commitment (GO:0021781)	13	8	1.90	+	4.21	3.00E-03	3.89E-02
ventral spinal cord interneuron differentiation (GO:0021514)	13	8	1.90	+	4.21	3.00E-03	3.88E-02
negative regulation of amino acid transport (GO:0051956)	13	8	1.90	+	4.21	3.00E-03	3.88E-02
regulation of pigmentation (GO:0120305)	13	8	1.90	+	4.21	3.00E-03	3.88E-02
regulation of developmental pigmentation (GO:0048070)	13	8	1.90	+	4.21	3.00E-03	3.87E-02
uterus development (GO:0060065)	20	10	2.92	+	3.42	2.96E-03	3.84E-02
stress response to metal ion (GO:0097501)	20	10	2.92	+	3.42	2.96E-03	3.84E-02
positive regulation of protein secretion (GO:0050714)	138	36	20.16	+	1.79	2.86E-03	3.70E-02
positive regulation of lipid localization (GO:1905954)	107	30	15.63	+	1.92	2.79E-03	3.63E-02
female gonad development (GO:0008585)	88	26	12.85	+	2.02	2.75E-03	3.58E-02
detection of external stimulus (GO:0009581)	137	36	20.01	+	1.80	2.71E-03	3.53E-02
cell-substrate adhesion (GO:0031589)	184	45	26.87	+	1.67	2.71E-03	3.53E-02
positive regulation of heart contraction (GO:0045823)	38	15	5.55	+	2.70	2.70E-03	3.52E-02
negative regulation of developmental growth (GO:0048640)	106	30	15.48	+	1.94	2.66E-03	3.47E-02
actin filament-based process (GO:0030029)	605	120	88.36	+	1.36	2.66E-03	3.47E-02
potassium ion import across plasma membrane (GO:1990573)	43	16	6.28	+	2.55	2.63E-03	3.44E-02
regulation of muscle organ development (GO:0048634)	43	16	6.28	+	2.55	2.63E-03	3.44E-02
lung alveolus development (GO:0048286)	43	16	6.28	+	2.55	2.63E-03	3.43E-02
regulation of cardiac muscle cell differentiation (GO:2000725)	16	9	2.34	+	3.85	2.62E-03	3.43E-02
regulation of norepinephrine secretion (GO:0014061)	16	9	2.34	+	3.85	2.62E-03	3.43E-02
posttranscriptional regulation of gene expression (GO:0010608)	581	57	84.86	-	.67	2.59E-03	3.40E-02
establishment of localization in cell (GO:0051649)	2335	286	341.04	-	.84	2.58E-03	3.38E-02
regulation of mesenchymal cell proliferation (GO:0010464)	31	13	4.53	+	2.87	2.55E-03	3.35E-02
regulation of feeding behavior (GO:0060259)	27	12	3.94	+	3.04	2.53E-03	3.33E-02
immune system development (GO:0002520)	670	131	97.86	+	1.34	2.50E-03	3.29E-02
activation of innate immune response (GO:0002218)	150	8	21.91	-	.37	2.48E-03	3.26E-02
cellular response to ketone (GO:1901655)	95	28	13.88	+	2.02	2.47E-03	3.26E-02
organic cyclic compound catabolic process (GO:1901361)	466	43	68.06	-	.63	2.45E-03	3.24E-02
protein acetylation (GO:0006473)	138	7	20.16	-	.35	2.45E-03	3.23E-02
cellular protein complex disassembly (GO:0043624)	138	7	20.16	-	.35	2.45E-03	3.23E-02
subpallium development (GO:0021544)	23	11	3.36	+	3.27	2.43E-03	3.23E-02
regulation of organic acid transport (GO:0032890)	69	22	10.08	+	2.18	2.44E-03	3.23E-02
cyclic purine nucleotide metabolic process (GO:0052652)	23	11	3.36	+	3.27	2.43E-03	3.22E-02
cyclic nucleotide biosynthetic process (GO:0009190)	23	11	3.36	+	3.27	2.43E-03	3.22E-02
embryonic camera-type eye development (GO:0031076)	37	15	5.40	+	2.78	2.43E-03	3.22E-02
cerebral cortex neuron differentiation (GO:0021895)	23	11	3.36	+	3.27	2.43E-03	3.22E-02
regulation of translational initiation (GO:0006446)	81	2	11.83	-	.17	2.42E-03	3.21E-02
regulation of cellular component biogenesis (GO:0044087)	974	182	142.26	+	1.28	2.41E-03	3.21E-02
positive regulation of neural precursor cell proliferation (GO:2000179)	55	19	8.03	+	2.37	2.39E-03	3.18E-02
ventricular cardiac muscle tissue development (GO:0003229)	55	19	8.03	+	2.37	2.39E-03	3.18E-02
negative regulation of leukocyte differentiation (GO:1902106)	102	29	14.90	+	1.95	2.38E-03	3.17E-02
regulation of ERK1 and ERK2 cascade (GO:0070372)	294	66	42.94	+	1.54	2.36E-03	3.15E-02
positive regulation of striated muscle cell differentiation (GO:0051155)	47	17	6.86	+	2.48	2.35E-03	3.13E-02
response to decreased oxygen levels (GO:0036293)	361	78	52.73	+	1.48	2.33E-03	3.11E-02
membrane organization (GO:0061024)	972	105	141.97	-	.74	2.33E-03	3.11E-02
DNA-templated transcription, elongation (GO:0006354)	79	2	11.54	-	.17	2.28E-03	3.06E-02
regulation of wound healing (GO:0061041)	131	35	19.13	+	1.83	2.27E-03	3.05E-02
phenol-containing compound metabolic process (GO:0018958)	92	27	13.44	+	2.01	2.27E-03	3.05E-02
positive regulation of glial cell differentiation (GO:0045687)	42	16	6.13	+	2.61	2.27E-03	3.04E-02
regulation of phagocytosis (GO:0050764)	92	27	13.44	+	2.01	2.27E-03	3.04E-02
regulation of organ growth (GO:0046620)	92	27	13.44	+	2.01	2.27E-03	3.04E-02
positive regulation of telomere maintenance (GO:0032206)	51	0	7.45	-	 < 0.01	2.24E-03	3.02E-02
detoxification of inorganic compound (GO:0061687)	19	10	2.78	+	3.60	2.23E-03	3.00E-02
negative regulation of bone remodeling (GO:0046851)	19	10	2.78	+	3.60	2.23E-03	3.00E-02
chondrocyte differentiation (GO:0002062)	68	22	9.93	+	2.22	2.21E-03	2.98E-02
regulation of bone mineralization (GO:0030500)	76	24	11.10	+	2.16	2.19E-03	2.96E-02
secretion (GO:0046903)	1047	194	152.92	+	1.27	2.19E-03	2.95E-02
regulation of heart morphogenesis (GO:2000826)	9	7	1.31	+	5.33	2.17E-03	2.93E-02
excitatory chemical synaptic transmission (GO:0098976)	9	7	1.31	+	5.33	2.17E-03	2.93E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	54	19	7.89	+	2.41	2.15E-03	2.92E-02
regulation of pri-miRNA transcription by RNA polymerase II (GO:1902893)	54	19	7.89	+	2.41	2.15E-03	2.92E-02
regulation of response to biotic stimulus (GO:0002831)	434	39	63.39	-	.62	2.14E-03	2.91E-02
negative regulation of canonical Wnt signaling pathway (GO:0090090)	187	46	27.31	+	1.68	2.14E-03	2.91E-02
negative regulation of platelet aggregation (GO:0090331)	12	8	1.75	+	4.56	2.09E-03	2.85E-02
negative regulation of neuron projection development (GO:0010977)	140	37	20.45	+	1.81	2.10E-03	2.85E-02
negative regulation of protein phosphorylation (GO:0001933)	353	77	51.56	+	1.49	2.09E-03	2.85E-02
midbrain dopaminergic neuron differentiation (GO:1904948)	12	8	1.75	+	4.56	2.09E-03	2.85E-02
inhibitory synapse assembly (GO:1904862)	12	8	1.75	+	4.56	2.09E-03	2.85E-02
cardiac cell fate commitment (GO:0060911)	12	8	1.75	+	4.56	2.09E-03	2.85E-02
telencephalon regionalization (GO:0021978)	12	8	1.75	+	4.56	2.09E-03	2.84E-02
response to oxygen levels (GO:0070482)	388	83	56.67	+	1.46	2.07E-03	2.83E-02
mitochondrial electron transport, NADH to ubiquinone (GO:0006120)	49	0	7.16	-	 < 0.01	2.06E-03	2.83E-02
regulation of systemic arterial blood pressure (GO:0003073)	100	29	14.61	+	1.99	2.05E-03	2.81E-02
negative regulation of cell projection organization (GO:0031345)	186	46	27.17	+	1.69	2.05E-03	2.81E-02
Notch signaling pathway (GO:0007219)	119	33	17.38	+	1.90	2.04E-03	2.79E-02
positive regulation of synaptic transmission, glutamatergic (GO:0051968)	30	13	4.38	+	2.97	2.03E-03	2.79E-02
chondroitin sulfate proteoglycan biosynthetic process (GO:0050650)	30	13	4.38	+	2.97	2.03E-03	2.79E-02
forebrain neuron development (GO:0021884)	30	13	4.38	+	2.97	2.03E-03	2.79E-02
import across plasma membrane (GO:0098739)	139	37	20.30	+	1.82	2.00E-03	2.75E-02
gamma-aminobutyric acid signaling pathway (GO:0007214)	26	12	3.80	+	3.16	1.98E-03	2.75E-02
development of primary male sexual characteristics (GO:0046546)	139	37	20.30	+	1.82	2.00E-03	2.75E-02
pharyngeal system development (GO:0060037)	26	12	3.80	+	3.16	1.98E-03	2.75E-02
regulation of cell size (GO:0008361)	185	46	27.02	+	1.70	1.97E-03	2.75E-02
retina layer formation (GO:0010842)	26	12	3.80	+	3.16	1.98E-03	2.75E-02
negative regulation of anion transport (GO:1903792)	26	12	3.80	+	3.16	1.98E-03	2.74E-02
regulation of myoblast differentiation (GO:0045661)	53	19	7.74	+	2.45	1.97E-03	2.74E-02
cell fate commitment involved in formation of primary germ layer (GO:0060795)	26	12	3.80	+	3.16	1.98E-03	2.74E-02
transmission of nerve impulse (GO:0019226)	53	19	7.74	+	2.45	1.97E-03	2.74E-02
metanephric tubule formation (GO:0072174)	6	6	.88	+	6.85	1.98E-03	2.74E-02
positive regulation of heart rate (GO:0010460)	26	12	3.80	+	3.16	1.98E-03	2.74E-02
sinoatrial node cell differentiation (GO:0060921)	6	6	.88	+	6.85	1.98E-03	2.74E-02
cerebral cortex GABAergic interneuron migration (GO:0021853)	6	6	.88	+	6.85	1.98E-03	2.73E-02
regulation of canonical Wnt signaling pathway (GO:0060828)	298	67	43.52	+	1.54	1.96E-03	2.73E-02
exocrine system development (GO:0035272)	41	16	5.99	+	2.67	1.98E-03	2.73E-02
regulation of anion transport (GO:0044070)	90	27	13.14	+	2.05	1.93E-03	2.70E-02
tRNA modification (GO:0006400)	93	3	13.58	-	.22	1.92E-03	2.69E-02
male gonad development (GO:0008584)	138	37	20.16	+	1.84	1.91E-03	2.68E-02
positive regulation of cell adhesion (GO:0045785)	438	92	63.97	+	1.44	1.91E-03	2.68E-02
positive regulation of endothelial cell migration (GO:0010595)	108	31	15.77	+	1.97	1.91E-03	2.68E-02
cardiac muscle cell differentiation (GO:0055007)	81	25	11.83	+	2.11	1.91E-03	2.67E-02
positive regulation of non-canonical Wnt signaling pathway (GO:2000052)	15	9	2.19	+	4.11	1.89E-03	2.66E-02
enteric nervous system development (GO:0048484)	15	9	2.19	+	4.11	1.89E-03	2.65E-02
response to alkaloid (GO:0043279)	117	33	17.09	+	1.93	1.87E-03	2.64E-02
cellular response to prostaglandin stimulus (GO:0071379)	22	11	3.21	+	3.42	1.86E-03	2.62E-02
regulation of branching involved in ureteric bud morphogenesis (GO:0090189)	22	11	3.21	+	3.42	1.86E-03	2.62E-02
detection of temperature stimulus involved in sensory perception (GO:0050961)	22	11	3.21	+	3.42	1.86E-03	2.62E-02
regulation of sodium ion transmembrane transport (GO:1902305)	66	22	9.64	+	2.28	1.86E-03	2.62E-02
endocardial cushion formation (GO:0003272)	22	11	3.21	+	3.42	1.86E-03	2.61E-02
defense response to bacterium (GO:0042742)	350	29	51.12	-	.57	1.84E-03	2.60E-02
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	269	20	39.29	-	.51	1.81E-03	2.56E-02
postsynapse organization (GO:0099173)	89	27	13.00	+	2.08	1.81E-03	2.56E-02
plasma membrane invagination (GO:0099024)	141	7	20.59	-	.34	1.79E-03	2.54E-02
embryonic epithelial tube formation (GO:0001838)	124	34	18.11	+	1.88	1.76E-03	2.50E-02
endothelium development (GO:0003158)	97	29	14.17	+	2.05	1.76E-03	2.50E-02
positive regulation of blood pressure (GO:0045777)	40	16	5.84	+	2.74	1.75E-03	2.50E-02
regulation of NMDA receptor activity (GO:2000310)	40	16	5.84	+	2.74	1.75E-03	2.49E-02
positive regulation of blood circulation (GO:1903524)	40	16	5.84	+	2.74	1.75E-03	2.49E-02
positive regulation of programmed cell death (GO:0043068)	575	116	83.98	+	1.38	1.74E-03	2.48E-02
regulation of vascular permeability (GO:0043114)	45	17	6.57	+	2.59	1.71E-03	2.44E-02
antigen processing and presentation (GO:0019882)	225	15	32.86	-	.46	1.71E-03	2.43E-02
negative regulation of hemopoiesis (GO:1903707)	104	30	15.19	+	1.98	1.68E-03	2.41E-02
regulation of complement activation (GO:0030449)	118	5	17.23	-	.29	1.68E-03	2.40E-02
cellular biosynthetic process (GO:0044249)	2715	335	396.54	-	.84	1.67E-03	2.39E-02
cGMP metabolic process (GO:0046068)	18	10	2.63	+	3.80	1.64E-03	2.36E-02
specification of animal organ identity (GO:0010092)	18	10	2.63	+	3.80	1.64E-03	2.36E-02
skeletal muscle tissue development (GO:0007519)	123	34	17.96	+	1.89	1.65E-03	2.36E-02
spinal cord patterning (GO:0021511)	18	10	2.63	+	3.80	1.64E-03	2.36E-02
neurotransmitter biosynthetic process (GO:0042136)	18	10	2.63	+	3.80	1.64E-03	2.36E-02
regulation of synaptic transmission, GABAergic (GO:0032228)	33	14	4.82	+	2.90	1.62E-03	2.34E-02
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	184	11	26.87	-	.41	1.63E-03	2.34E-02
regulation of presynapse assembly (GO:1905606)	33	14	4.82	+	2.90	1.62E-03	2.34E-02
regulation of presynapse organization (GO:0099174)	33	14	4.82	+	2.90	1.62E-03	2.34E-02
regulation of homotypic cell-cell adhesion (GO:0034110)	29	13	4.24	+	3.07	1.60E-03	2.32E-02
spinal cord motor neuron differentiation (GO:0021522)	29	13	4.24	+	3.07	1.60E-03	2.32E-02
response to vitamin D (GO:0033280)	29	13	4.24	+	3.07	1.60E-03	2.32E-02
walking behavior (GO:0090659)	29	13	4.24	+	3.07	1.60E-03	2.32E-02
aorta morphogenesis (GO:0035909)	29	13	4.24	+	3.07	1.60E-03	2.31E-02
response to pain (GO:0048265)	29	13	4.24	+	3.07	1.60E-03	2.31E-02
nuclear transport (GO:0051169)	264	19	38.56	-	.49	1.58E-03	2.30E-02
positive regulation of lipid kinase activity (GO:0090218)	39	16	5.70	+	2.81	1.58E-03	2.30E-02
regulation of heart rate by cardiac conduction (GO:0086091)	39	16	5.70	+	2.81	1.58E-03	2.30E-02
nucleocytoplasmic transport (GO:0006913)	261	19	38.12	-	.50	1.55E-03	2.26E-02
endoderm formation (GO:0001706)	49	18	7.16	+	2.52	1.53E-03	2.24E-02
positive regulation of epithelial to mesenchymal transition (GO:0010718)	49	18	7.16	+	2.52	1.53E-03	2.24E-02
secondary palate development (GO:0062009)	25	12	3.65	+	3.29	1.53E-03	2.23E-02
neural precursor cell proliferation (GO:0061351)	70	23	10.22	+	2.25	1.50E-03	2.19E-02
digestive tract morphogenesis (GO:0048546)	44	17	6.43	+	2.65	1.48E-03	2.16E-02
cellular response to vascular endothelial growth factor stimulus (GO:0035924)	44	17	6.43	+	2.65	1.48E-03	2.16E-02
ATP metabolic process (GO:0046034)	206	13	30.09	-	.43	1.47E-03	2.16E-02
regulation of response to wounding (GO:1903034)	162	42	23.66	+	1.78	1.46E-03	2.14E-02
regulation of telomere maintenance via telomerase (GO:0032210)	54	0	7.89	-	 < 0.01	1.46E-03	2.14E-02
anion transmembrane transport (GO:0098656)	224	54	32.72	+	1.65	1.46E-03	2.14E-02
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	111	32	16.21	+	1.97	1.44E-03	2.12E-02
response to cocaine (GO:0042220)	56	20	8.18	+	2.45	1.44E-03	2.12E-02
dendrite development (GO:0016358)	111	32	16.21	+	1.97	1.44E-03	2.12E-02
regulation of protein kinase B signaling (GO:0051896)	235	56	34.32	+	1.63	1.40E-03	2.07E-02
metanephric epithelium development (GO:0072207)	21	11	3.07	+	3.59	1.40E-03	2.07E-02
regulation of collateral sprouting (GO:0048670)	21	11	3.07	+	3.59	1.40E-03	2.07E-02
sympathetic nervous system development (GO:0048485)	21	11	3.07	+	3.59	1.40E-03	2.06E-02
type B pancreatic cell differentiation (GO:0003309)	21	11	3.07	+	3.59	1.40E-03	2.06E-02
regulation of serotonin secretion (GO:0014062)	8	7	1.17	+	5.99	1.37E-03	2.03E-02
interneuron migration (GO:1904936)	8	7	1.17	+	5.99	1.37E-03	2.03E-02
mesenchymal to epithelial transition involved in metanephros morphogenesis (GO:0003337)	8	7	1.17	+	5.99	1.37E-03	2.03E-02
negative regulation of BMP signaling pathway (GO:0030514)	61	21	8.91	+	2.36	1.35E-03	2.01E-02
negative regulation of homotypic cell-cell adhesion (GO:0034111)	14	9	2.04	+	4.40	1.33E-03	1.98E-02
regulation of exocytosis (GO:0017157)	207	51	30.23	+	1.69	1.32E-03	1.97E-02
protein localization to endoplasmic reticulum (GO:0070972)	143	7	20.89	-	.34	1.31E-03	1.95E-02
protein acylation (GO:0043543)	178	10	26.00	-	.38	1.30E-03	1.94E-02
cardiac atrium development (GO:0003230)	36	15	5.26	+	2.85	1.29E-03	1.93E-02
cell communication involved in cardiac conduction (GO:0086065)	43	17	6.28	+	2.71	1.29E-03	1.92E-02
phagocytosis, engulfment (GO:0006911)	132	6	19.28	-	.31	1.27E-03	1.91E-02
RNA export from nucleus (GO:0006405)	124	5	18.11	-	.28	1.26E-03	1.88E-02
behavioral defense response (GO:0002209)	28	13	4.09	+	3.18	1.25E-03	1.87E-02
adult walking behavior (GO:0007628)	28	13	4.09	+	3.18	1.25E-03	1.87E-02
endochondral bone morphogenesis (GO:0060350)	54	20	7.89	+	2.54	1.22E-03	1.83E-02
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	191	48	27.90	+	1.72	1.22E-03	1.83E-02
mitotic sister chromatid segregation (GO:0000070)	121	5	17.67	-	.28	1.21E-03	1.82E-02
negative regulation of behavior (GO:0048521)	17	10	2.48	+	4.03	1.19E-03	1.80E-02
response to hypoxia (GO:0001666)	347	77	50.68	+	1.52	1.19E-03	1.80E-02
positive regulation of voltage-gated potassium channel activity (GO:1903818)	17	10	2.48	+	4.03	1.19E-03	1.80E-02
positive regulation of calcium ion transport (GO:0051928)	125	35	18.26	+	1.92	1.19E-03	1.79E-02
positive regulation of lipid metabolic process (GO:0045834)	155	41	22.64	+	1.81	1.17E-03	1.77E-02
outflow tract septum morphogenesis (GO:0003148)	24	12	3.51	+	3.42	1.17E-03	1.77E-02
opsonization (GO:0008228)	72	1	10.52	-	.10	1.16E-03	1.75E-02
negative regulation of leukocyte migration (GO:0002686)	42	17	6.13	+	2.77	1.14E-03	1.72E-02
regulation of regulated secretory pathway (GO:1903305)	144	39	21.03	+	1.85	1.13E-03	1.71E-02
calcium ion transport into cytosol (GO:0060402)	73	24	10.66	+	2.25	1.13E-03	1.71E-02
mRNA export from nucleus (GO:0006406)	110	4	16.07	-	.25	1.10E-03	1.67E-02
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	110	4	16.07	-	.25	1.10E-03	1.67E-02
biosynthetic process (GO:0009058)	2865	353	418.45	-	.84	1.07E-03	1.63E-02
sprouting angiogenesis (GO:0002040)	59	21	8.62	+	2.44	1.06E-03	1.62E-02
peptide secretion (GO:0002790)	59	21	8.62	+	2.44	1.06E-03	1.62E-02
regulation of steroid hormone secretion (GO:2000831)	20	11	2.92	+	3.77	1.03E-03	1.58E-02
positive regulation of gene expression (GO:0010628)	1169	217	170.74	+	1.27	1.03E-03	1.58E-02
positive regulation of fat cell differentiation (GO:0045600)	64	22	9.35	+	2.35	1.03E-03	1.58E-02
regulation of lipid localization (GO:1905952)	163	43	23.81	+	1.81	1.03E-03	1.58E-02
nitric oxide mediated signal transduction (GO:0007263)	20	11	2.92	+	3.77	1.03E-03	1.58E-02
positive regulation of gliogenesis (GO:0014015)	64	22	9.35	+	2.35	1.03E-03	1.58E-02
positive regulation of chondrocyte differentiation (GO:0032332)	20	11	2.92	+	3.77	1.03E-03	1.58E-02
regulation of biomineralization (GO:0110149)	95	29	13.88	+	2.09	1.02E-03	1.57E-02
neurotransmitter metabolic process (GO:0042133)	31	14	4.53	+	3.09	1.01E-03	1.56E-02
regulation of establishment of protein localization (GO:0070201)	581	119	84.86	+	1.40	1.01E-03	1.55E-02
positive regulation of protein serine/threonine kinase activity (GO:0071902)	321	73	46.88	+	1.56	9.97E-04	1.54E-02
